run_id,platform_id,keyword,total_questions,appeared_count,appearance_rate,avg_rank,best_rank,missed_count
20260511_230329,astraflow,deli,0,0,0.0000,,,0
20260511_230329,astraflow,Ryobi,0,0,0.0000,,,0
20260511_230329,astraflow,Craftsman,0,0,0.0000,,,0
20260511_230329,astraflow,DeWalt,0,0,0.0000,,,0
20260511_230329,astraflow,Milwaukee,0,0,0.0000,,,0
20260511_230329,astraflow,Kobalt,0,0,0.0000,,,0
20260511_230329,astraflow,Tekton,0,0,0.0000,,,0
20260511_230329,astraflow,Husky,0,0,0.0000,,,0
20260511_230329,astraflow,Bauer,0,0,0.0000,,,0
20260511_230329,astraflow,Makita,0,0,0.0000,,,0
20260511_230329,model_2,deli,0,0,0.0000,,,0
20260511_230329,model_2,Ryobi,0,0,0.0000,,,0
20260511_230329,model_2,Craftsman,0,0,0.0000,,,0
20260511_230329,model_2,DeWalt,0,0,0.0000,,,0
20260511_230329,model_2,Milwaukee,0,0,0.0000,,,0
20260511_230329,model_2,Kobalt,0,0,0.0000,,,0
20260511_230329,model_2,Tekton,0,0,0.0000,,,0
20260511_230329,model_2,Husky,0,0,0.0000,,,0
20260511_230329,model_2,Bauer,0,0,0.0000,,,0
20260511_230329,model_2,Makita,0,0,0.0000,,,0
20260511_230329,model_3,deli,0,0,0.0000,,,0
20260511_230329,model_3,Ryobi,0,0,0.0000,,,0
20260511_230329,model_3,Craftsman,0,0,0.0000,,,0
20260511_230329,model_3,DeWalt,0,0,0.0000,,,0
20260511_230329,model_3,Milwaukee,0,0,0.0000,,,0
20260511_230329,model_3,Kobalt,0,0,0.0000,,,0
20260511_230329,model_3,Tekton,0,0,0.0000,,,0
20260511_230329,model_3,Husky,0,0,0.0000,,,0
20260511_230329,model_3,Bauer,0,0,0.0000,,,0
20260511_230329,model_3,Makita,0,0,0.0000,,,0
